home_team_code,venue_id,home_wins,away_team_code,status_ind,home_id,game_id,away_wins,game_pk,date,home_sname,home_sport_code,away_id,away_sname,away_loss,home_loss,away_fname,home_fname,venue_name
nya,2523,1,fan,F,147,2014/02/25/gid_2014_02_25_fanbbc_nyamlb_1/,0,396393,"February 25, 2014",NY Yankees,mlb,101,Florida State U.,1,0,Florida State University Seminoles,New York Yankees,George M. Steinbrenner Field
det,2511,1,fls,F,116,2014/02/25/gid_2014_02_25_flsbbc_detmlb_1/,0,396260,"February 25, 2014",Detroit,mlb,228,Fla. Southern Col.,1,0,Florida Southern College Mocs,Detroit Tigers,Joker Marchant Stadium
cle,3834,0,cin,F,114,2014/02/26/gid_2014_02_26_cinmlb_clemlb_1/,1,396229,"February 26, 2014",Cleveland,mlb,113,Cincinnati,0,1,Cincinnati Reds,Cleveland Indians,Goodyear Ballpark
atl,2504,0,det,FR,144,2014/02/26/gid_2014_02_26_detmlb_atlmlb_1/,1,396129,"February 26, 2014",Atlanta,mlb,116,Detroit,0,1,Detroit Tigers,Atlanta Braves,Champion Stadium
ari,4249,1,lan,F,109,2014/02/26/gid_2014_02_26_lanmlb_arimlb_1/,0,396114,"February 26, 2014",Arizona,mlb,119,LA Dodgers,1,0,Los Angeles Dodgers,Arizona Diamondbacks,Salt River Fields at Talking Stick
pit,2526,1,nya,F,134,2014/02/26/gid_2014_02_26_nyamlb_pitmlb_1/,0,396441,"February 26, 2014",Pittsburgh,mlb,147,NY Yankees,1,0,New York Yankees,Pittsburgh Pirates,McKechnie Field
sfn,2532,0,oak,F,137,2014/02/26/gid_2014_02_26_oakmlb_sfnmlb_1/,1,396473,"February 26, 2014",San Francisco,mlb,133,Oakland,0,1,Oakland Athletics,San Francisco Giants,Scottsdale Stadium
phi,2700,0,tor,FR,143,2014/02/26/gid_2014_02_26_tormlb_phimlb_1/,1,396425,"February 26, 2014",Philadelphia,mlb,141,Toronto,0,1,Toronto Blue Jays,Philadelphia Phillies,Bright House Field
mia,2520,1,umi,F,146,2014/02/26/gid_2014_02_26_umibbc_miamlb_1/,0,396672,"February 26, 2014",Miami,mlb,236,Univ. of Miami,1,0,University of Miami Hurricanes,Miami Marlins,Roger Dean Stadium
chn,4629,0,ari,F,112,2014/02/27/gid_2014_02_27_arimlb_chnmlb_1/,2,396182,"February 27, 2014",Chi Cubs,mlb,109,Arizona,1,1,Arizona Diamondbacks,Chicago Cubs,Cubs Park
lan,3809,1,ari,F,119,2014/02/27/gid_2014_02_27_arimlb_lanmlb_1/,2,396320,"February 27, 2014",LA Dodgers,mlb,109,Arizona,1,1,Arizona Diamondbacks,Los Angeles Dodgers,Camelback Ranch
det,2511,2,atl,F,116,2014/02/27/gid_2014_02_27_atlmlb_detmlb_1/,0,396261,"February 27, 2014",Detroit,mlb,144,Atlanta,2,0,Atlanta Braves,Detroit Tigers,Joker Marchant Stadium
bos,4309,1,boc,F,111,2014/02/27/gid_2014_02_27_bocbbc_bosmlb_2/,0,396165,"February 27, 2014",Boston,mlb,227,Boston College,1,0,Boston College Eagles,Boston Red Sox,JetBlue Park
cin,3834,1,cle,F,113,2014/02/27/gid_2014_02_27_clemlb_cinmlb_1/,1,396214,"February 27, 2014",Cincinnati,mlb,114,Cleveland,1,1,Cleveland Indians,Cincinnati Reds,Goodyear Ballpark
mia,2520,1,fiu,F,146,2014/02/27/gid_2014_02_27_fiubbc_miamlb_1/,0,396673,"February 27, 2014",Miami,mlb,4468,Florida International,1,0,Florida International University Panthers,Miami Marlins,Roger Dean Stadium
oak,2524,1,mil,F,133,2014/02/27/gid_2014_02_27_milmlb_oakmlb_1/,1,396410,"February 27, 2014",Oakland,mlb,158,Milwaukee,0,1,Milwaukee Brewers,Oakland Athletics,Phoenix Municipal Stadium
bos,4309,1,neu,F,111,2014/02/27/gid_2014_02_27_neubbc_bosmlb_1/,0,396166,"February 27, 2014",Boston,mlb,343,Northeastern U.,1,0,Northeastern University Huskies,Boston Red Sox,JetBlue Park
tor,2536,2,phi,F,141,2014/02/27/gid_2014_02_27_phimlb_tormlb_1/,0,396548,"February 27, 2014",Toronto,mlb,143,Philadelphia,2,0,Philadelphia Phillies,Toronto Blue Jays,Florida Auto Exchange Stadium
nya,2523,0,pit,F,147,2014/02/27/gid_2014_02_27_pitmlb_nyamlb_1/,2,396394,"February 27, 2014",NY Yankees,mlb,134,Pittsburgh,0,2,Pittsburgh Pirates,New York Yankees,George M. Steinbrenner Field
sea,2530,1,sdn,F,136,2014/02/27/gid_2014_02_27_sdnmlb_seamlb_1/,0,396488,"February 27, 2014",Seattle,mlb,135,San Diego,1,0,San Diego Padres,Seattle Mariners,Peoria Stadium
kca,2603,0,tex,F,118,2014/02/27/gid_2014_02_27_texmlb_kcamlb_1/,1,396291,"February 27, 2014",Kansas City,mlb,140,Texas,0,1,Texas Rangers,Kansas City Royals,Surprise Stadium
tba,2534,0,bal,F,139,2014/02/28/gid_2014_02_28_balmlb_tbamlb_1/,1,396517,"February 28, 2014",Tampa Bay,mlb,110,Baltimore,0,1,Baltimore Orioles,Tampa Bay Rays,Charlotte Sports Park
lan,3809,2,cha,F,119,2014/02/28/gid_2014_02_28_chamlb_lanmlb_1/,0,396321,"February 28, 2014",LA Dodgers,mlb,145,Chi White Sox,1,1,Chicago White Sox,Los Angeles Dodgers,Camelback Ranch
ana,2500,1,chn,F,108,2014/02/28/gid_2014_02_28_chnmlb_anamlb_1/,0,396305,"February 28, 2014",LA Angels,mlb,112,Chi Cubs,2,0,Chicago Cubs,Los Angeles Angels,Tempe Diablo Stadium
cle,3834,2,cin,F,114,2014/02/28/gid_2014_02_28_cinmlb_clemlb_1/,1,396230,"February 28, 2014",Cleveland,mlb,113,Cincinnati,2,1,Cincinnati Reds,Cleveland Indians,Goodyear Ballpark
