on_2b,bases,on_1b,hd_3,hu_3,hu_4,topBottom,hu_2,hd_1,hd_4,on_3b,hu_1,hd_2,inning,hd_00,outs
1,1 2 3,1,2.300,0.900,0.700,Bottom,1.200,2.100,2.200,1,1.600,2.300,1,1.900,0
1,1 2 3,1,2.600,1.300,1.000,Bottom,1.600,2.600,2.400,1,2.000,2.600,1,2.300,1
1,1 2 3,1,2.700,1.500,1.200,Bottom,2.000,2.900,2.400,1,2.400,2.900,1,2.700,2
1,1 2 _,1,1.900,0.900,0.700,Bottom,1.200,1.900,1.700,0,1.500,2.000,1,1.700,0
1,1 2 _,1,1.900,1.000,0.800,Bottom,1.300,2.000,1.700,0,1.600,2.000,1,1.800,1
1,1 2 _,1,1.500,0.900,0.700,Bottom,1.200,1.700,1.300,0,1.400,1.600,1,1.600,2
0,1 _ 3,1,1.700,0.700,0.500,Bottom,1.000,1.600,1.600,1,1.200,1.700,1,1.400,0
0,1 _ 3,1,1.700,1.000,0.800,Bottom,1.200,1.800,1.500,1,1.500,1.800,1,1.700,1
0,1 _ 3,1,1.600,1.000,0.800,Bottom,1.300,1.800,1.400,1,1.500,1.700,1,1.700,2
0,1 _ _,1,1.400,0.800,0.600,Bottom,1.000,1.500,1.200,0,1.200,1.500,1,1.400,0
0,1 _ _,1,1.100,0.700,0.500,Bottom,0.800,1.200,1.000,0,1.000,1.200,1,1.100,1
0,1 _ _,1,0.700,0.500,0.400,Bottom,0.600,0.800,0.600,0,0.700,0.800,1,0.800,2
1,_ 2 3,0,1.500,0.700,0.500,Bottom,0.900,1.400,1.400,1,1.100,1.500,1,1.300,0
1,_ 2 3,0,1.500,0.800,0.600,Bottom,1.000,1.500,1.400,1,1.200,1.600,1,1.400,1
1,_ 2 3,0,1.800,1.100,0.800,Bottom,1.400,2.000,1.600,1,1.700,2.000,1,1.900,2
1,_ 2 _,0,1.200,0.600,0.500,Bottom,0.800,1.200,1.100,0,1.000,1.300,1,1.100,0
1,_ 2 _,0,1.100,0.700,0.500,Bottom,0.900,1.200,1.000,0,1.000,1.200,1,1.200,1
1,_ 2 _,0,1.000,0.700,0.500,Bottom,0.800,1.100,0.800,0,1.000,1.100,1,1.100,2
