home_team_errors,note,home_team_hits,game_id,away_team_hits,away_team_runs,home_team_runs,away_team_errors
0,,12,2014/02/25/gid_2014_02_25_fanbbc_nyamlb_1/,9,3,8,1
0,,13,2014/02/25/gid_2014_02_25_flsbbc_detmlb_1/,3,0,12,1
1,,3,2014/02/26/gid_2014_02_26_cinmlb_clemlb_1/,10,8,3,2
3,,9,2014/02/26/gid_2014_02_26_detmlb_atlmlb_1/,8,6,5,4
0,,12,2014/02/26/gid_2014_02_26_lanmlb_arimlb_1/,7,1,4,1
1,,11,2014/02/26/gid_2014_02_26_nyamlb_pitmlb_1/,7,5,6,2
1,,6,2014/02/26/gid_2014_02_26_oakmlb_sfnmlb_1/,16,10,5,0
1,,5,2014/02/26/gid_2014_02_26_tormlb_phimlb_1/,8,4,3,0
3,,9,2014/02/26/gid_2014_02_26_umibbc_miamlb_1/,6,2,5,0
0,,5,2014/02/27/gid_2014_02_27_arimlb_chnmlb_1/,10,5,2,0
0,,11,2014/02/27/gid_2014_02_27_arimlb_lanmlb_1/,6,3,4,1
0,,13,2014/02/27/gid_2014_02_27_atlmlb_detmlb_1/,4,2,5,1
1,,9,2014/02/27/gid_2014_02_27_bocbbc_bosmlb_2/,5,2,5,0
1,,7,2014/02/27/gid_2014_02_27_clemlb_cinmlb_1/,12,12,3,1
0,,10,2014/02/27/gid_2014_02_27_fiubbc_miamlb_1/,14,5,9,0
2,,10,2014/02/27/gid_2014_02_27_milmlb_oakmlb_1/,11,11,3,0
0,,6,2014/02/27/gid_2014_02_27_neubbc_bosmlb_1/,4,2,5,2
3,,10,2014/02/27/gid_2014_02_27_phimlb_tormlb_1/,6,5,7,2
0,,6,2014/02/27/gid_2014_02_27_pitmlb_nyamlb_1/,13,8,2,3
0,,10,2014/02/27/gid_2014_02_27_sdnmlb_seamlb_1/,5,1,7,4
4,,11,2014/02/27/gid_2014_02_27_texmlb_kcamlb_1/,14,11,7,5
0,,7,2014/02/28/gid_2014_02_28_balmlb_tbamlb_1/,9,4,2,0
0,,6,2014/02/28/gid_2014_02_28_chamlb_lanmlb_1/,5,0,5,0
0,,15,2014/02/28/gid_2014_02_28_chnmlb_anamlb_1/,6,3,15,0
2,,4,2014/02/28/gid_2014_02_28_cinmlb_clemlb_1/,3,0,4,1
3,,2,2014/02/28/gid_2014_02_28_colmlb_arimlb_1/,14,11,0,1
1,,6,2014/02/28/gid_2014_02_28_detmlb_phimlb_1/,7,6,10,2
0,,9,2014/02/28/gid_2014_02_28_houmlb_atlmlb_1/,12,7,5,0
2,,6,2014/02/28/gid_2014_02_28_kcamlb_texmlb_1/,16,11,1,0
0,,9,2014/02/28/gid_2014_02_28_miamlb_slnmlb_1/,8,5,4,1
1,,5,2014/02/28/gid_2014_02_28_milmlb_sfnmlb_1/,8,3,4,1
2,,5,2014/02/28/gid_2014_02_28_minmlb_bosmlb_1/,11,8,2,0
1,,14,2014/02/28/gid_2014_02_28_nyamlb_detmlb_1/,8,7,4,1
0,,6,2014/02/28/gid_2014_02_28_pitmlb_tormlb_1/,6,2,4,1
2,,5,2014/02/28/gid_2014_02_28_seamlb_sdnmlb_1/,18,12,1,1
0,None out when winning run scored.,8,2014/02/28/gid_2014_02_28_sfnmlb_oakmlb_1/,9,6,7,1
2,,11,2014/02/28/gid_2014_02_28_wasmlb_nynmlb_1/,10,5,4,0
1,,10,2014/03/01/gid_2014_03_01_anamlb_seamlb_1/,7,3,5,1
5,,12,2014/03/01/gid_2014_03_01_atlmlb_wasmlb_1/,25,15,16,1
0,,9,2014/03/01/gid_2014_03_01_bosmlb_minmlb_1/,6,2,6,0
2,,8,2014/03/01/gid_2014_03_01_colmlb_cinmlb_1/,9,2,3,0
0,,9,2014/03/01/gid_2014_03_01_houmlb_detmlb_1/,4,1,5,1
1,,13,2014/03/01/gid_2014_03_01_lanmlb_milmlb_1/,10,5,6,0
3,,4,2014/03/01/gid_2014_03_01_miamlb_nynmlb_1/,13,9,1,0
0,,7,2014/03/01/gid_2014_03_01_milmlb_arimlb_1/,3,1,2,0
1,,8,2014/03/01/gid_2014_03_01_phimlb_nyamlb_1/,5,0,4,1
0,,9,2014/03/01/gid_2014_03_01_sdnmlb_kcamlb_1/,7,3,7,0
0,,0,2014/03/01/gid_2014_03_01_sfnmlb_chnmlb_1/,0,0,0,0
2,Two out when winning run scored.,8,2014/03/01/gid_2014_03_01_slnmlb_miamlb_1/,11,4,5,0
3,,7,2014/03/01/gid_2014_03_01_tbamlb_pitmlb_1/,6,2,2,0
2,,5,2014/03/01/gid_2014_03_01_texmlb_oakmlb_1/,10,2,2,3
1,,12,2014/03/01/gid_2014_03_01_tormlb_balmlb_1/,12,7,9,2
1,,12,2014/03/02/gid_2014_03_02_arimlb_sfnmlb_1/,6,3,5,0
0,,9,2014/03/02/gid_2014_03_02_atlmlb_houmlb_1/,11,4,7,1
