stadiumID,sun_endCivilTwilight,venue_w_chan_loc,sunRise,sunSet,sun_upperTransit,gameID,name,location,sun_beginCivilTwilight
2700,6:33 a.m. S,USFL0084,6:56 a.m. S,6:31 p.m. S,12:44 p.m. S,2012/02/29/gid_2012_02_29_fanbbc_phimlb_1/,Bright House Field,"Clearwater, FL",6:55 p.m. S
2511,6:27 a.m. S,USFL0267,6:51 a.m. S,6:29 p.m. S,12:40 p.m. S,2012/03/02/gid_2012_03_02_flsbbc_detmlb_1/,Joker Marchant Stadium,"Lakeland, FL",6:53 p.m. S
2513,6:22 a.m. S,USFL0579,6:46 a.m. S,6:24 p.m. S,12:35 p.m. S,2012/03/02/gid_2012_03_02_guhbbc_wasmlb_1/,Space Coast Stadium,"Viera, FL",6:47 p.m. S
2524,6:30 a.m. S,USAZ0166,6:55 a.m. S,6:26 p.m. S,12:40 p.m. S,2012/03/02/gid_2012_03_02_seamlb_oakmlb_1/,Phoenix Municipal Stadium,"Phoenix, AZ",6:51 p.m. S
2523,6:29 a.m. S,USFL0481,6:53 a.m. S,6:31 p.m. S,12:42 p.m. S,2012/03/02/gid_2012_03_02_usfbbc_nyamlb_1/,George M. Steinbrenner Field,"Tampa, FL",6:55 p.m. S
4249,6:28 a.m. S,USAZ0207,6:53 a.m. S,6:27 p.m. S,12:39 p.m. S,2012/03/03/gid_2012_03_03_arimlb_colmlb_1/,Salt River Fields at Talking Stick,"Scottsdale, AZ",6:51 p.m. S
4249,6:28 a.m. S,USAZ0207,6:53 a.m. S,6:27 p.m. S,12:39 p.m. S,2012/03/03/gid_2012_03_03_arimlb_colmlb_1_bak/,Salt River Fields at Talking Stick,"Scottsdale, AZ",6:51 p.m. S
2532,6:28 a.m. S,USAZ0207,6:53 a.m. S,6:27 p.m. S,12:39 p.m. S,2012/03/03/gid_2012_03_03_arimlb_sfnmlb_1/,Scottsdale Stadium,"Scottsdale, AZ",6:51 p.m. S
4309,6:26 a.m. S,USFL0152,6:49 a.m. S,6:30 p.m. S,12:39 p.m. S,2012/03/03/gid_2012_03_03_bocbbc_bosmlb_1/,JetBlue Park,"Ft. Myers, FL",6:53 p.m. S
3834,6:30 a.m. S,USAZ0087,6:55 a.m. S,6:28 p.m. S,12:41 p.m. S,2012/03/03/gid_2012_03_03_clemlb_cinmlb_1/,Goodyear Ballpark,"Goodyear, AZ",6:53 p.m. S
2504,6:24 a.m. S,USFL0372,6:47 a.m. S,6:27 p.m. S,12:37 p.m. S,2012/03/03/gid_2012_03_03_detmlb_atlmlb_1/,Champion Stadium,"Lake Buena Vista, FL",6:50 p.m. S
4309,6:26 a.m. S,USFL0152,6:49 a.m. S,6:30 p.m. S,12:39 p.m. S,2012/03/03/gid_2012_03_03_neubbc_bosmlb_1/,JetBlue Park,"Ft. Myers, FL",6:53 p.m. S
2700,6:30 a.m. S,USFL0084,6:53 a.m. S,6:33 p.m. S,12:43 p.m. S,2012/03/03/gid_2012_03_03_nyamlb_phimlb_1/,Bright House Field,"Clearwater, FL",6:57 p.m. S
2530,6:29 a.m. S,USAZ0162,6:54 a.m. S,6:28 p.m. S,12:41 p.m. S,2012/03/03/gid_2012_03_03_oakmlb_seamlb_1/,Peoria Stadium,"Peoria, AZ",6:53 p.m. S
2536,6:30 a.m. S,USFL0119,6:53 a.m. S,6:33 p.m. S,12:43 p.m. S,2012/03/03/gid_2012_03_03_pitmlb_tormlb_1/,Florida Auto Exchange Stadium,"Dunedin, FL",6:57 p.m. S
2519,6:33 a.m. S,USFL0152,6:57 a.m. S,6:34 p.m. S,12:45 p.m. S,2012/03/03/gid_2012_03_03_tbamlb_minmlb_1/,Lee County Sports Complex,"Lee County, FL",6:58 p.m. S
2514,6:24 a.m. S,USFL0248,6:48 a.m. S,6:27 p.m. S,12:37 p.m. S,2012/03/03/gid_2012_03_03_wasmlb_houmlb_1/,Osceola County Stadium,"Kissimmee, FL",6:51 p.m. S
2511,6:25 a.m. S,USFL0267,6:49 a.m. S,6:30 p.m. S,12:39 p.m. S,2012/03/04/gid_2012_03_04_atlmlb_detmlb_1/,Joker Marchant Stadium,"Lakeland, FL",6:54 p.m. S
3834,6:28 a.m. S,USAZ0087,6:53 a.m. S,6:29 p.m. S,12:41 p.m. S,2012/03/04/gid_2012_03_04_cinmlb_clemlb_1/,Goodyear Ballpark,"Goodyear, AZ",6:54 p.m. S
2513,6:20 a.m. S,USFL0579,6:44 a.m. S,6:25 p.m. S,12:34 p.m. S,2012/03/04/gid_2012_03_04_houmlb_wasmlb_1/,Space Coast Stadium,"Viera, FL",6:49 p.m. S
2603,6:28 a.m. S,USAZ0229,6:53 a.m. S,6:29 p.m. S,12:41 p.m. S,2012/03/04/gid_2012_03_04_kcamlb_texmlb_1/,Surprise Stadium,"Surprise, AZ",6:54 p.m. S
4309,6:25 a.m. S,USFL0152,6:48 a.m. S,6:31 p.m. S,12:39 p.m. S,2012/03/04/gid_2012_03_04_minmlb_bosmlb_1/,JetBlue Park,"Ft. Myers, FL",6:54 p.m. S
2534,6:25 a.m. S,USFL0415,6:49 a.m. S,6:31 p.m. S,12:40 p.m. S,2012/03/04/gid_2012_03_04_minmlb_tbamlb_1/,Charlotte Sports Park,"Port Charlotte, FL",6:54 p.m. S
2507,6:26 a.m. S,USAZ0136,6:51 a.m. S,6:27 p.m. S,12:39 p.m. S,2012/03/04/gid_2012_03_04_oakmlb_chnmlb_1/,HoHoKam Park,"Mesa, AZ",6:52 p.m. S
2523,6:27 a.m. S,USFL0481,6:51 a.m. S,6:32 p.m. S,12:41 p.m. S,2012/03/04/gid_2012_03_04_phimlb_nyamlb_1/,George M. Steinbrenner Field,"Tampa, FL",6:56 p.m. S
2530,6:28 a.m. S,USAZ0162,6:53 a.m. S,6:29 p.m. S,12:40 p.m. S,2012/03/04/gid_2012_03_04_sdnmlb_seamlb_1/,Peoria Stadium,"Peoria, AZ",6:53 p.m. S
4249,6:27 a.m. S,USAZ0207,6:52 a.m. S,6:27 p.m. S,12:39 p.m. S,2012/03/04/gid_2012_03_04_sfnmlb_arimlb_1/,Salt River Fields at Talking Stick,"Scottsdale, AZ",6:52 p.m. S
2518,6:27 a.m. S,USAZ0166,6:52 a.m. S,6:28 p.m. S,12:40 p.m. S,2012/03/04/gid_2012_03_04_sfnmlb_milmlb_1/,Maryvale Baseball Park,"Phoenix, AZ",6:53 p.m. S
2526,6:28 a.m. S,USFL0047,6:51 a.m. S,6:33 p.m. S,12:42 p.m. S,2012/03/04/gid_2012_03_04_tormlb_pitmlb_1/,McKechnie Field,"Bradenton, FL",6:56 p.m. S
2524,6:26 a.m. S,USAZ0166,6:51 a.m. S,6:29 p.m. S,12:40 p.m. S,2012/03/05/gid_2012_03_05_anamlb_oakmlb_1/,Phoenix Municipal Stadium,"Phoenix, AZ",6:54 p.m. S
4249,6:25 a.m. S,USAZ0207,6:50 a.m. S,6:28 p.m. S,12:39 p.m. S,2012/03/05/gid_2012_03_05_arimlb_colmlb_1/,Salt River Fields at Talking Stick,"Scottsdale, AZ",6:53 p.m. S
2514,6:22 a.m. S,USFL0248,6:46 a.m. S,6:29 p.m. S,12:37 p.m. S,2012/03/05/gid_2012_03_05_atlmlb_houmlb_1/,Osceola County Stadium,"Kissimmee, FL",6:52 p.m. S
2534,6:24 a.m. S,USFL0415,6:48 a.m. S,6:32 p.m. S,12:39 p.m. S,2012/03/05/gid_2012_03_05_balmlb_tbamlb_1/,Charlotte Sports Park,"Port Charlotte, FL",6:55 p.m. S
2519,6:30 a.m. S,USFL0152,6:54 a.m. S,6:35 p.m. S,12:45 p.m. S,2012/03/05/gid_2012_03_05_bosmlb_minmlb_1/,Lee County Sports Complex,"Lee County, FL",6:59 p.m. S
3834,6:27 a.m. S,USAZ0087,6:52 a.m. S,6:30 p.m. S,12:41 p.m. S,2012/03/05/gid_2012_03_05_clemlb_cinmlb_1/,Goodyear Ballpark,"Goodyear, AZ",6:55 p.m. S
3809,6:27 a.m. S,USAZ0083,6:51 a.m. S,6:29 p.m. S,12:40 p.m. S,2012/03/05/gid_2012_03_05_lanmlb_chamlb_1/,Camelback Ranch,"Glendale, AZ",6:54 p.m. S
2520,6:17 a.m. S,USFL0237,6:40 a.m. S,6:24 p.m. S,12:32 p.m. S,2012/03/05/gid_2012_03_05_miamlb_slnmlb_1/,Roger Dean Stadium,"Jupiter, FL",6:47 p.m. S
2532,6:25 a.m. S,USAZ0207,6:50 a.m. S,6:28 p.m. S,12:39 p.m. S,2012/03/05/gid_2012_03_05_milmlb_sfnmlb_1/,Scottsdale Stadium,"Scottsdale, AZ",6:53 p.m. S
2700,6:28 a.m. S,USFL0084,6:51 a.m. S,6:34 p.m. S,12:42 p.m. S,2012/03/05/gid_2012_03_05_nyamlb_phimlb_1/,Bright House Field,"Clearwater, FL",6:58 p.m. S
2507,6:25 a.m. S,USAZ0136,6:50 a.m. S,6:28 p.m. S,12:39 p.m. S,2012/03/05/gid_2012_03_05_oakmlb_chnmlb_1/,HoHoKam Park,"Mesa, AZ",6:53 p.m. S
2508,6:26 a.m. S,USFL0446,6:50 a.m. S,6:34 p.m. S,12:41 p.m. S,2012/03/05/gid_2012_03_05_pitmlb_balmlb_1/,Ed Smith Stadium,"Sarasota, FL",6:57 p.m. S
2530,6:27 a.m. S,USAZ0162,6:52 a.m. S,6:29 p.m. S,12:40 p.m. S,2012/03/05/gid_2012_03_05_seamlb_sdnmlb_1/,Peoria Stadium,"Peoria, AZ",6:54 p.m. S
2603,6:27 a.m. S,USAZ0229,6:52 a.m. S,6:30 p.m. S,12:41 p.m. S,2012/03/05/gid_2012_03_05_texmlb_kcamlb_1/,Surprise Stadium,"Surprise, AZ",6:55 p.m. S
