wins,league,division_id,name,gameID,name_full,code,league_id,teamID,type,losses,file_code,abbrev,name_brief
0,ACC,,Florida State U.,2012/02/29/gid_2012_02_29_fanbbc_phimlb_1/,Florida State University Seminoles,fan,108,101,away,1,t101,FSU,Seminoles
1,NL,204,Philadelphia,2012/02/29/gid_2012_02_29_fanbbc_phimlb_1/,Philadelphia Phillies,phi,104,143,home,0,phi,PHI,Phillies
1,AL,202,Detroit,2012/03/02/gid_2012_03_02_flsbbc_detmlb_1/,Detroit Tigers,det,103,116,home,0,det,DET,Tigers
0,ACC,,Fla. Southern Col.,2012/03/02/gid_2012_03_02_flsbbc_detmlb_1/,Florida Southern College Mocs,fls,108,228,away,1,fso,FSC,Mocs
1,NL,204,Washington,2012/03/02/gid_2012_03_02_guhbbc_wasmlb_1/,Washington Nationals,was,104,120,home,0,was,WSH,Nationals
0,BE,,Georgetown U.,2012/03/02/gid_2012_03_02_guhbbc_wasmlb_1/,Georgetown University Hoyas,guh,107,2330,away,1,t2330,GU,Hoyas
0,AL,200,Oakland,2012/03/02/gid_2012_03_02_seamlb_oakmlb_1/,Oakland Athletics,oak,103,133,home,1,oak,OAK,Athletics
1,AL,200,Seattle,2012/03/02/gid_2012_03_02_seamlb_oakmlb_1/,Seattle Mariners,sea,103,136,away,0,sea,SEA,Mariners
1,AL,201,NY Yankees,2012/03/02/gid_2012_03_02_usfbbc_nyamlb_1/,New York Yankees,nya,103,147,home,0,nyy,NYY,Yankees
0,BE,,U. of South Florida,2012/03/02/gid_2012_03_02_usfbbc_nyamlb_1/,University of South Florida Bulls,usf,107,2292,away,1,t2292,USF,Bulls
1,NL,203,Arizona,2012/03/03/gid_2012_03_03_arimlb_colmlb_1/,Arizona Diamondbacks,ari,104,109,away,0,ari,ARI,D-backs
0,NL,203,Colorado,2012/03/03/gid_2012_03_03_arimlb_colmlb_1/,Colorado Rockies,col,104,115,home,0,col,COL,Rockies
0,NL,203,Arizona,2012/03/03/gid_2012_03_03_arimlb_colmlb_1_bak/,Arizona Diamondbacks,ari,104,109,away,0,ari,ARI,D-backs
0,NL,203,Colorado,2012/03/03/gid_2012_03_03_arimlb_colmlb_1_bak/,Colorado Rockies,col,104,115,home,0,col,COL,Rockies
1,NL,203,Arizona,2012/03/03/gid_2012_03_03_arimlb_sfnmlb_1/,Arizona Diamondbacks,ari,104,109,away,0,ari,ARI,D-backs
0,NL,203,San Francisco,2012/03/03/gid_2012_03_03_arimlb_sfnmlb_1/,San Francisco Giants,sfn,104,137,home,1,sf,SF,Giants
1,AL,201,Boston,2012/03/03/gid_2012_03_03_bocbbc_bosmlb_1/,Boston Red Sox,bos,103,111,home,0,bos,BOS,Red Sox
0,BE,,Boston College,2012/03/03/gid_2012_03_03_bocbbc_bosmlb_1/,Boston College Eagles,boc,107,227,away,1,bc,BC,Eagles
0,NL,,Cincinnati,2012/03/03/gid_2012_03_03_clemlb_cinmlb_1/,Cincinnati Reds,cin,104,113,home,0,cin,CIN,Reds
0,AL,,Cleveland,2012/03/03/gid_2012_03_03_clemlb_cinmlb_1/,Cleveland Indians,cle,103,114,away,0,cle,CLE,Indians
1,AL,,Detroit,2012/03/03/gid_2012_03_03_detmlb_atlmlb_1/,Detroit Tigers,det,103,116,away,0,det,DET,Tigers
0,NL,,Atlanta,2012/03/03/gid_2012_03_03_detmlb_atlmlb_1/,Atlanta Braves,atl,104,144,home,1,atl,ATL,Braves
1,AL,201,Boston,2012/03/03/gid_2012_03_03_neubbc_bosmlb_1/,Boston Red Sox,bos,103,111,home,0,bos,BOS,Red Sox
0,BE,,Northeastern U.,2012/03/03/gid_2012_03_03_neubbc_bosmlb_1/,Northeastern University Huskies,neu,107,343,away,1,neu,NEU,Huskies
0,NL,204,Philadelphia,2012/03/03/gid_2012_03_03_nyamlb_phimlb_1/,Philadelphia Phillies,phi,104,143,home,1,phi,PHI,Phillies
