gameID,gameDate,type,local_gamE_time,game_pk,game_time_et,gameday_sw,home_team_id,away_team_id,stadiumID
2012/02/29/gid_2012_02_29_fanbbc_phimlb_1/,2012/02/29,E,13:05,332093,"01:05 PM",N,143,101,2700
2012/03/02/gid_2012_03_02_flsbbc_detmlb_1/,2012/03/02,E,13:05,332094,"01:05 PM",N,116,228,2511
2012/03/02/gid_2012_03_02_guhbbc_wasmlb_1/,2012/03/02,E,12:00,336450,"12:00 PM",N,120,2330,2513
2012/03/02/gid_2012_03_02_seamlb_oakmlb_1/,2012/03/02,S,13:05,332095,"03:05 PM",Y,133,136,2524
2012/03/02/gid_2012_03_02_usfbbc_nyamlb_1/,2012/03/02,E,13:05,332096,"01:05 PM",N,147,2292,2523
2012/03/03/gid_2012_03_03_arimlb_colmlb_1/,2012/03/03,S,13:10,332097,"03:10 PM",Y,115,109,4249
2012/03/03/gid_2012_03_03_arimlb_colmlb_1_bak/,2012/03/03,S,13:10,332097,"03:10 PM",Y,115,109,4249
2012/03/03/gid_2012_03_03_arimlb_sfnmlb_1/,2012/03/03,S,13:05,332098,"03:05 PM",Y,137,109,2532
2012/03/03/gid_2012_03_03_bocbbc_bosmlb_1/,2012/03/03,E,19:05,332099,"07:05 PM",N,111,227,4309
2012/03/03/gid_2012_03_03_clemlb_cinmlb_1/,2012/03/03,S,13:05,332100,"03:05 PM",Y,113,114,3834
2012/03/03/gid_2012_03_03_detmlb_atlmlb_1/,2012/03/03,S,13:05,332101,"01:05 PM",Y,144,116,2504
2012/03/03/gid_2012_03_03_neubbc_bosmlb_1/,2012/03/03,E,14:35,332102,"02:35 PM",N,111,343,4309
2012/03/03/gid_2012_03_03_nyamlb_phimlb_1/,2012/03/03,S,13:05,332103,"01:05 PM",Y,143,147,2700
2012/03/03/gid_2012_03_03_oakmlb_seamlb_1/,2012/03/03,S,13:05,332104,"03:05 PM",E,136,133,2530
2012/03/03/gid_2012_03_03_pitmlb_tormlb_1/,2012/03/03,S,13:05,332105,"01:05 PM",Y,141,134,2536
2012/03/03/gid_2012_03_03_tbamlb_minmlb_1/,2012/03/03,S,13:05,332106,"01:05 PM",Y,142,139,2519
2012/03/03/gid_2012_03_03_wasmlb_houmlb_1/,2012/03/03,S,13:05,332107,"01:05 PM",Y,117,120,2514
2012/03/04/gid_2012_03_04_atlmlb_detmlb_1/,2012/03/04,S,13:05,332108,"01:05 PM",Y,116,144,2511
2012/03/04/gid_2012_03_04_cinmlb_clemlb_1/,2012/03/04,S,13:05,332109,"03:05 PM",Y,114,113,3834
2012/03/04/gid_2012_03_04_houmlb_wasmlb_1/,2012/03/04,S,13:05,332110,"01:05 PM",Y,120,117,2513
2012/03/04/gid_2012_03_04_kcamlb_texmlb_1/,2012/03/04,S,12:05,332111,"02:05 PM",E,140,118,2603
2012/03/04/gid_2012_03_04_minmlb_bosmlb_1/,2012/03/04,S,13:35,332112,"01:35 PM",Y,111,142,4309
2012/03/04/gid_2012_03_04_minmlb_tbamlb_1/,2012/03/04,S,13:05,332113,"01:05 PM",Y,139,142,2534
2012/03/04/gid_2012_03_04_oakmlb_chnmlb_1/,2012/03/04,S,13:05,332114,"03:05 PM",Y,112,133,2507
2012/03/04/gid_2012_03_04_phimlb_nyamlb_1/,2012/03/04,S,13:05,332115,"01:05 PM",Y,147,143,2523
2012/03/04/gid_2012_03_04_sdnmlb_seamlb_1/,2012/03/04,S,13:05,332116,"03:05 PM",E,136,135,2530
2012/03/04/gid_2012_03_04_sfnmlb_arimlb_1/,2012/03/04,S,13:10,332117,"03:10 PM",Y,109,137,4249
2012/03/04/gid_2012_03_04_sfnmlb_milmlb_1/,2012/03/04,S,13:05,332118,"03:05 PM",Y,158,137,2518
2012/03/04/gid_2012_03_04_tormlb_pitmlb_1/,2012/03/04,S,13:05,332119,"01:05 PM",Y,134,141,2526
2012/03/05/gid_2012_03_05_anamlb_oakmlb_1/,2012/03/05,S,13:05,332120,"03:05 PM",Y,133,108,2524
