inning,topBottom,bases,outs,hd_4,hd_3,hd_2,hd_1,hd_00,hu_1,hu_2,hu_3,hu_4,on_1b,on_2b,on_3b
1,Bottom,"1 2 3",0,2.200,2.300,2.300,2.100,1.900,1.600,1.200,0.900,0.700,1,1,1
1,Bottom,"1 2 3",1,2.400,2.600,2.600,2.600,2.300,2.000,1.600,1.300,1.000,1,1,1
1,Bottom,"1 2 3",2,2.400,2.700,2.900,2.900,2.700,2.400,2.000,1.500,1.200,1,1,1
1,Bottom,"1 2 _",0,1.700,1.900,2.000,1.900,1.700,1.500,1.200,0.900,0.700,1,1,0
1,Bottom,"1 2 _",1,1.700,1.900,2.000,2.000,1.800,1.600,1.300,1.000,0.800,1,1,0
1,Bottom,"1 2 _",2,1.300,1.500,1.600,1.700,1.600,1.400,1.200,0.900,0.700,1,1,0
1,Bottom,"1 _ 3",0,1.600,1.700,1.700,1.600,1.400,1.200,1.000,0.700,0.500,1,0,1
1,Bottom,"1 _ 3",1,1.500,1.700,1.800,1.800,1.700,1.500,1.200,1.000,0.800,1,0,1
1,Bottom,"1 _ 3",2,1.400,1.600,1.700,1.800,1.700,1.500,1.300,1.000,0.800,1,0,1
1,Bottom,"1 _ _",0,1.200,1.400,1.500,1.500,1.400,1.200,1.000,0.800,0.600,1,0,0
1,Bottom,"1 _ _",1,1.000,1.100,1.200,1.200,1.100,1.000,0.800,0.700,0.500,1,0,0
1,Bottom,"1 _ _",2,0.600,0.700,0.800,0.800,0.800,0.700,0.600,0.500,0.400,1,0,0
1,Bottom,"_ 2 3",0,1.400,1.500,1.500,1.400,1.300,1.100,0.900,0.700,0.500,0,1,1
1,Bottom,"_ 2 3",1,1.400,1.500,1.600,1.500,1.400,1.200,1.000,0.800,0.600,0,1,1
1,Bottom,"_ 2 3",2,1.600,1.800,2.000,2.000,1.900,1.700,1.400,1.100,0.800,0,1,1
1,Bottom,"_ 2 _",0,1.100,1.200,1.300,1.200,1.100,1.000,0.800,0.600,0.500,0,1,0
1,Bottom,"_ 2 _",1,1.000,1.100,1.200,1.200,1.200,1.000,0.900,0.700,0.500,0,1,0
1,Bottom,"_ 2 _",2,0.800,1.000,1.100,1.100,1.100,1.000,0.800,0.700,0.500,0,1,0
1,Bottom,"_ _ 3",0,1.000,1.100,1.100,1.100,1.000,0.800,0.700,0.500,0.400,0,0,1
1,Bottom,"_ _ 3",1,1.000,1.100,1.300,1.300,1.300,1.100,1.000,0.800,0.600,0,0,1
1,Bottom,"_ _ 3",2,1.000,1.100,1.300,1.300,1.300,1.200,1.000,0.800,0.600,0,0,1
1,Bottom,"_ _ _",0,0.700,0.800,0.900,0.900,0.900,0.800,0.600,0.500,0.400,0,0,0
1,Bottom,"_ _ _",1,0.500,0.600,0.600,0.700,0.600,0.600,0.500,0.400,0.300,0,0,0
1,Bottom,"_ _ _",2,0.300,0.400,0.400,0.400,0.400,0.400,0.300,0.300,0.200,0,0,0
1,Top,"1 2 3",0,0.800,1.100,1.400,1.700,2.000,0.000,0.000,0.000,0.000,1,1,1
1,Top,"1 2 3",1,1.100,1.500,1.800,2.100,2.400,0.000,0.000,0.000,0.000,1,1,1
1,Top,"1 2 3",2,1.400,1.800,2.100,2.500,2.700,0.000,0.000,0.000,0.000,1,1,1
1,Top,"1 2 _",0,0.800,1.100,1.300,1.600,1.800,0.000,0.000,0.000,0.000,1,1,0
1,Top,"1 2 _",1,0.900,1.200,1.500,1.700,1.900,0.000,0.000,0.000,0.000,1,1,0
1,Top,"1 2 _",2,0.800,1.000,1.300,1.500,1.600,0.000,0.000,0.000,0.000,1,1,0
1,Top,"1 _ 3",0,0.600,0.800,1.100,1.300,1.500,0.000,0.000,0.000,0.000,1,0,1
1,Top,"1 _ 3",1,0.900,1.100,1.300,1.600,1.700,0.000,0.000,0.000,0.000,1,0,1
1,Top,"1 _ 3",2,0.900,1.100,1.400,1.600,1.700,0.000,0.000,0.000,0.000,1,0,1
1,Top,"1 _ _",0,0.700,0.900,1.100,1.300,1.400,0.000,0.000,0.000,0.000,1,0,0
1,Top,"1 _ _",1,0.600,0.700,0.900,1.000,1.100,0.000,0.000,0.000,0.000,1,0,0
1,Top,"1 _ _",2,0.400,0.500,0.600,0.700,0.800,0.000,0.000,0.000,0.000,1,0,0
1,Top,"_ 2 3",0,0.600,0.800,1.000,1.200,1.300,0.000,0.000,0.000,0.000,0,1,1
1,Top,"_ 2 3",1,0.700,0.900,1.100,1.300,1.400,0.000,0.000,0.000,0.000,0,1,1
1,Top,"_ 2 3",2,1.000,1.200,1.500,1.700,1.900,0.000,0.000,0.000,0.000,0,1,1
1,Top,"_ 2 _",0,0.600,0.700,0.900,1.000,1.200,0.000,0.000,0.000,0.000,0,1,0
1,Top,"_ 2 _",1,0.600,0.800,0.900,1.100,1.200,0.000,0.000,0.000,0.000,0,1,0
1,Top,"_ 2 _",2,0.600,0.700,0.900,1.000,1.100,0.000,0.000,0.000,0.000,0,1,0
1,Top,"_ _ 3",0,0.500,0.600,0.800,0.900,1.000,0.000,0.000,0.000,0.000,0,0,1
1,Top,"_ _ 3",1,0.700,0.900,1.000,1.200,1.300,0.000,0.000,0.000,0.000,0,0,1
1,Top,"_ _ 3",2,0.700,0.900,1.000,1.200,1.300,0.000,0.000,0.000,0.000,0,0,1
1,Top,"_ _ _",0,0.400,0.600,0.700,0.800,0.900,0.000,0.000,0.000,0.000,0,0,0
1,Top,"_ _ _",1,0.300,0.400,0.500,0.600,0.600,0.000,0.000,0.000,0.000,0,0,0
1,Top,"_ _ _",2,0.200,0.300,0.300,0.400,0.400,0.000,0.000,0.000,0.000,0,0,0
2,Bottom,"1 2 3",0,2.300,2.400,2.400,2.200,1.900,1.600,1.200,0.900,0.600,1,1,1
2,Bottom,"1 2 3",1,2.500,2.700,2.800,2.700,2.400,2.100,1.700,1.300,0.900,1,1,1
