gameID,stadiumID,name,venue_w_chan_loc,location,sun_beginCivilTwilight,sunSet,sun_upperTransit,sunRise,sun_endCivilTwilight
2012/02/29/gid_2012_02_29_fanbbc_phimlb_1/,2700,"Bright House Field",USFL0084,"Clearwater, FL","6:55 p.m. S","6:31 p.m. S","12:44 p.m. S","6:56 a.m. S","6:33 a.m. S"
2012/03/02/gid_2012_03_02_flsbbc_detmlb_1/,2511,"Joker Marchant Stadium",USFL0267,"Lakeland, FL","6:53 p.m. S","6:29 p.m. S","12:40 p.m. S","6:51 a.m. S","6:27 a.m. S"
2012/03/02/gid_2012_03_02_guhbbc_wasmlb_1/,2513,"Space Coast Stadium",USFL0579,"Viera, FL","6:47 p.m. S","6:24 p.m. S","12:35 p.m. S","6:46 a.m. S","6:22 a.m. S"
2012/03/02/gid_2012_03_02_seamlb_oakmlb_1/,2524,"Phoenix Municipal Stadium",USAZ0166,"Phoenix, AZ","6:51 p.m. S","6:26 p.m. S","12:40 p.m. S","6:55 a.m. S","6:30 a.m. S"
2012/03/02/gid_2012_03_02_usfbbc_nyamlb_1/,2523,"George M. Steinbrenner Field",USFL0481,"Tampa, FL","6:55 p.m. S","6:31 p.m. S","12:42 p.m. S","6:53 a.m. S","6:29 a.m. S"
2012/03/03/gid_2012_03_03_arimlb_colmlb_1/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ","6:51 p.m. S","6:27 p.m. S","12:39 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/03/gid_2012_03_03_arimlb_colmlb_1_bak/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ","6:51 p.m. S","6:27 p.m. S","12:39 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/03/gid_2012_03_03_arimlb_sfnmlb_1/,2532,"Scottsdale Stadium",USAZ0207,"Scottsdale, AZ","6:51 p.m. S","6:27 p.m. S","12:39 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/03/gid_2012_03_03_bocbbc_bosmlb_1/,4309,"JetBlue Park",USFL0152,"Ft. Myers, FL","6:53 p.m. S","6:30 p.m. S","12:39 p.m. S","6:49 a.m. S","6:26 a.m. S"
2012/03/03/gid_2012_03_03_clemlb_cinmlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ","6:53 p.m. S","6:28 p.m. S","12:41 p.m. S","6:55 a.m. S","6:30 a.m. S"
2012/03/03/gid_2012_03_03_detmlb_atlmlb_1/,2504,"Champion Stadium",USFL0372,"Lake Buena Vista, FL","6:50 p.m. S","6:27 p.m. S","12:37 p.m. S","6:47 a.m. S","6:24 a.m. S"
2012/03/03/gid_2012_03_03_neubbc_bosmlb_1/,4309,"JetBlue Park",USFL0152,"Ft. Myers, FL","6:53 p.m. S","6:30 p.m. S","12:39 p.m. S","6:49 a.m. S","6:26 a.m. S"
2012/03/03/gid_2012_03_03_nyamlb_phimlb_1/,2700,"Bright House Field",USFL0084,"Clearwater, FL","6:57 p.m. S","6:33 p.m. S","12:43 p.m. S","6:53 a.m. S","6:30 a.m. S"
2012/03/03/gid_2012_03_03_oakmlb_seamlb_1/,2530,"Peoria Stadium",USAZ0162,"Peoria, AZ","6:53 p.m. S","6:28 p.m. S","12:41 p.m. S","6:54 a.m. S","6:29 a.m. S"
2012/03/03/gid_2012_03_03_pitmlb_tormlb_1/,2536,"Florida Auto Exchange Stadium",USFL0119,"Dunedin, FL","6:57 p.m. S","6:33 p.m. S","12:43 p.m. S","6:53 a.m. S","6:30 a.m. S"
2012/03/03/gid_2012_03_03_tbamlb_minmlb_1/,2519,"Lee County Sports Complex",USFL0152,"Lee County, FL","6:58 p.m. S","6:34 p.m. S","12:45 p.m. S","6:57 a.m. S","6:33 a.m. S"
2012/03/03/gid_2012_03_03_wasmlb_houmlb_1/,2514,"Osceola County Stadium",USFL0248,"Kissimmee, FL","6:51 p.m. S","6:27 p.m. S","12:37 p.m. S","6:48 a.m. S","6:24 a.m. S"
2012/03/04/gid_2012_03_04_atlmlb_detmlb_1/,2511,"Joker Marchant Stadium",USFL0267,"Lakeland, FL","6:54 p.m. S","6:30 p.m. S","12:39 p.m. S","6:49 a.m. S","6:25 a.m. S"
2012/03/04/gid_2012_03_04_cinmlb_clemlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ","6:54 p.m. S","6:29 p.m. S","12:41 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/04/gid_2012_03_04_houmlb_wasmlb_1/,2513,"Space Coast Stadium",USFL0579,"Viera, FL","6:49 p.m. S","6:25 p.m. S","12:34 p.m. S","6:44 a.m. S","6:20 a.m. S"
2012/03/04/gid_2012_03_04_kcamlb_texmlb_1/,2603,"Surprise Stadium",USAZ0229,"Surprise, AZ","6:54 p.m. S","6:29 p.m. S","12:41 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/04/gid_2012_03_04_minmlb_bosmlb_1/,4309,"JetBlue Park",USFL0152,"Ft. Myers, FL","6:54 p.m. S","6:31 p.m. S","12:39 p.m. S","6:48 a.m. S","6:25 a.m. S"
2012/03/04/gid_2012_03_04_minmlb_tbamlb_1/,2534,"Charlotte Sports Park",USFL0415,"Port Charlotte, FL","6:54 p.m. S","6:31 p.m. S","12:40 p.m. S","6:49 a.m. S","6:25 a.m. S"
2012/03/04/gid_2012_03_04_oakmlb_chnmlb_1/,2507,"HoHoKam Park",USAZ0136,"Mesa, AZ","6:52 p.m. S","6:27 p.m. S","12:39 p.m. S","6:51 a.m. S","6:26 a.m. S"
2012/03/04/gid_2012_03_04_phimlb_nyamlb_1/,2523,"George M. Steinbrenner Field",USFL0481,"Tampa, FL","6:56 p.m. S","6:32 p.m. S","12:41 p.m. S","6:51 a.m. S","6:27 a.m. S"
