gameID,type,code,file_code,abbrev,teamID,name,name_full,name_brief,wins,losses,division_id,league_id,league
2012/02/29/gid_2012_02_29_fanbbc_phimlb_1/,away,fan,t101,FSU,101,"Florida State U.","Florida State University Seminoles",Seminoles,0,1,NULL,108,ACC
2012/02/29/gid_2012_02_29_fanbbc_phimlb_1/,home,phi,phi,PHI,143,Philadelphia,"Philadelphia Phillies",Phillies,1,0,204,104,NL
2012/03/02/gid_2012_03_02_flsbbc_detmlb_1/,home,det,det,DET,116,Detroit,"Detroit Tigers",Tigers,1,0,202,103,AL
2012/03/02/gid_2012_03_02_flsbbc_detmlb_1/,away,fls,fso,FSC,228,"Fla. Southern Col.","Florida Southern College Mocs",Mocs,0,1,NULL,108,ACC
2012/03/02/gid_2012_03_02_guhbbc_wasmlb_1/,home,was,was,WSH,120,Washington,"Washington Nationals",Nationals,1,0,204,104,NL
2012/03/02/gid_2012_03_02_guhbbc_wasmlb_1/,away,guh,t2330,GU,2330,"Georgetown U.","Georgetown University Hoyas",Hoyas,0,1,NULL,107,BE
2012/03/02/gid_2012_03_02_seamlb_oakmlb_1/,home,oak,oak,OAK,133,Oakland,"Oakland Athletics",Athletics,0,1,200,103,AL
2012/03/02/gid_2012_03_02_seamlb_oakmlb_1/,away,sea,sea,SEA,136,Seattle,"Seattle Mariners",Mariners,1,0,200,103,AL
2012/03/02/gid_2012_03_02_usfbbc_nyamlb_1/,home,nya,nyy,NYY,147,"NY Yankees","New York Yankees",Yankees,1,0,201,103,AL
2012/03/02/gid_2012_03_02_usfbbc_nyamlb_1/,away,usf,t2292,USF,2292,"U. of South Florida","University of South Florida Bulls",Bulls,0,1,NULL,107,BE
2012/03/03/gid_2012_03_03_arimlb_colmlb_1/,away,ari,ari,ARI,109,Arizona,"Arizona Diamondbacks",D-backs,1,0,203,104,NL
2012/03/03/gid_2012_03_03_arimlb_colmlb_1/,home,col,col,COL,115,Colorado,"Colorado Rockies",Rockies,0,0,203,104,NL
2012/03/03/gid_2012_03_03_arimlb_colmlb_1_bak/,away,ari,ari,ARI,109,Arizona,"Arizona Diamondbacks",D-backs,0,0,203,104,NL
2012/03/03/gid_2012_03_03_arimlb_colmlb_1_bak/,home,col,col,COL,115,Colorado,"Colorado Rockies",Rockies,0,0,203,104,NL
2012/03/03/gid_2012_03_03_arimlb_sfnmlb_1/,away,ari,ari,ARI,109,Arizona,"Arizona Diamondbacks",D-backs,1,0,203,104,NL
2012/03/03/gid_2012_03_03_arimlb_sfnmlb_1/,home,sfn,sf,SF,137,"San Francisco","San Francisco Giants",Giants,0,1,203,104,NL
2012/03/03/gid_2012_03_03_bocbbc_bosmlb_1/,home,bos,bos,BOS,111,Boston,"Boston Red Sox","Red Sox",1,0,201,103,AL
2012/03/03/gid_2012_03_03_bocbbc_bosmlb_1/,away,boc,bc,BC,227,"Boston College","Boston College Eagles",Eagles,0,1,NULL,107,BE
2012/03/03/gid_2012_03_03_clemlb_cinmlb_1/,home,cin,cin,CIN,113,Cincinnati,"Cincinnati Reds",Reds,0,0,NULL,104,NL
2012/03/03/gid_2012_03_03_clemlb_cinmlb_1/,away,cle,cle,CLE,114,Cleveland,"Cleveland Indians",Indians,0,0,NULL,103,AL
2012/03/03/gid_2012_03_03_detmlb_atlmlb_1/,away,det,det,DET,116,Detroit,"Detroit Tigers",Tigers,1,0,NULL,103,AL
2012/03/03/gid_2012_03_03_detmlb_atlmlb_1/,home,atl,atl,ATL,144,Atlanta,"Atlanta Braves",Braves,0,1,NULL,104,NL
2012/03/03/gid_2012_03_03_neubbc_bosmlb_1/,home,bos,bos,BOS,111,Boston,"Boston Red Sox","Red Sox",1,0,201,103,AL
2012/03/03/gid_2012_03_03_neubbc_bosmlb_1/,away,neu,neu,NEU,343,"Northeastern U.","Northeastern University Huskies",Huskies,0,1,NULL,107,BE
2012/03/03/gid_2012_03_03_nyamlb_phimlb_1/,home,phi,phi,PHI,143,Philadelphia,"Philadelphia Phillies",Phillies,0,1,204,104,NL
2012/03/03/gid_2012_03_03_nyamlb_phimlb_1/,away,nya,nyy,NYY,147,"NY Yankees","New York Yankees",Yankees,1,0,201,103,AL
2012/03/03/gid_2012_03_03_oakmlb_seamlb_1/,away,oak,oak,OAK,133,Oakland,"Oakland Athletics",Athletics,1,1,200,103,AL
2012/03/03/gid_2012_03_03_oakmlb_seamlb_1/,home,sea,sea,SEA,136,Seattle,"Seattle Mariners",Mariners,1,1,200,103,AL
2012/03/03/gid_2012_03_03_pitmlb_tormlb_1/,away,pit,pit,PIT,134,Pittsburgh,"Pittsburgh Pirates",Pirates,0,1,205,104,NL
2012/03/03/gid_2012_03_03_pitmlb_tormlb_1/,home,tor,tor,TOR,141,Toronto,"Toronto Blue Jays","Blue Jays",1,0,201,103,AL
2012/03/03/gid_2012_03_03_tbamlb_minmlb_1/,away,tba,tb,TB,139,"Tampa Bay","Tampa Bay Rays",Rays,0,1,201,103,AL
2012/03/03/gid_2012_03_03_tbamlb_minmlb_1/,home,min,min,MIN,142,Minnesota,"Minnesota Twins",Twins,1,0,202,103,AL
2012/03/03/gid_2012_03_03_wasmlb_houmlb_1/,home,hou,hou,HOU,117,Houston,"Houston Astros",Astros,1,0,205,104,NL
2012/03/03/gid_2012_03_03_wasmlb_houmlb_1/,away,was,was,WSH,120,Washington,"Washington Nationals",Nationals,0,1,204,104,NL
2012/03/04/gid_2012_03_04_atlmlb_detmlb_1/,home,det,det,DET,116,Detroit,"Detroit Tigers",Tigers,2,0,202,103,AL
2012/03/04/gid_2012_03_04_atlmlb_detmlb_1/,away,atl,atl,ATL,144,Atlanta,"Atlanta Braves",Braves,0,2,204,104,NL
2012/03/04/gid_2012_03_04_cinmlb_clemlb_1/,away,cin,cin,CIN,113,Cincinnati,"Cincinnati Reds",Reds,1,0,205,104,NL
2012/03/04/gid_2012_03_04_cinmlb_clemlb_1/,home,cle,cle,CLE,114,Cleveland,"Cleveland Indians",Indians,0,1,202,103,AL
2012/03/04/gid_2012_03_04_houmlb_wasmlb_1/,away,hou,hou,HOU,117,Houston,"Houston Astros",Astros,2,0,205,104,NL
2012/03/04/gid_2012_03_04_houmlb_wasmlb_1/,home,was,was,WSH,120,Washington,"Washington Nationals",Nationals,0,2,204,104,NL
2012/03/04/gid_2012_03_04_kcamlb_texmlb_1/,away,kca,kc,KC,118,"Kansas City","Kansas City Royals",Royals,1,0,202,103,AL
2012/03/04/gid_2012_03_04_kcamlb_texmlb_1/,home,tex,tex,TEX,140,Texas,"Texas Rangers",Rangers,0,1,200,103,AL
2012/03/04/gid_2012_03_04_minmlb_bosmlb_1/,home,bos,bos,BOS,111,Boston,"Boston Red Sox","Red Sox",1,0,201,103,AL
2012/03/04/gid_2012_03_04_minmlb_bosmlb_1/,away,min,min,MIN,142,Minnesota,"Minnesota Twins",Twins,2,1,202,103,AL
2012/03/04/gid_2012_03_04_minmlb_tbamlb_1/,home,tba,tb,TB,139,"Tampa Bay","Tampa Bay Rays",Rays,0,2,201,103,AL
2012/03/04/gid_2012_03_04_minmlb_tbamlb_1/,away,min,min,MIN,142,Minnesota,"Minnesota Twins",Twins,2,1,202,103,AL
2012/03/04/gid_2012_03_04_oakmlb_chnmlb_1/,home,chn,chc,CHC,112,"Chi Cubs","Chicago Cubs",Cubs,0,1,205,104,NL
2012/03/04/gid_2012_03_04_oakmlb_chnmlb_1/,away,oak,oak,OAK,133,Oakland,"Oakland Athletics",Athletics,2,1,200,103,AL
2012/03/04/gid_2012_03_04_phimlb_nyamlb_1/,away,phi,phi,PHI,143,Philadelphia,"Philadelphia Phillies",Phillies,0,2,204,104,NL
2012/03/04/gid_2012_03_04_phimlb_nyamlb_1/,home,nya,nyy,NYY,147,"NY Yankees","New York Yankees",Yankees,2,0,201,103,AL
2012/03/04/gid_2012_03_04_sdnmlb_seamlb_1/,away,sdn,sd,SD,135,"San Diego","San Diego Padres",Padres,0,1,203,104,NL
2012/03/04/gid_2012_03_04_sdnmlb_seamlb_1/,home,sea,sea,SEA,136,Seattle,"Seattle Mariners",Mariners,2,1,200,103,AL
2012/03/04/gid_2012_03_04_sfnmlb_arimlb_1/,home,ari,ari,ARI,109,Arizona,"Arizona Diamondbacks",D-backs,1,1,203,104,NL
2012/03/04/gid_2012_03_04_sfnmlb_arimlb_1/,away,sfn,sf,SF,137,"San Francisco","San Francisco Giants",Giants,1,1,203,104,NL
2012/03/04/gid_2012_03_04_sfnmlb_milmlb_1/,away,sfn,sf,SF,137,"San Francisco","San Francisco Giants",Giants,1,1,203,104,NL
2012/03/04/gid_2012_03_04_sfnmlb_milmlb_1/,home,mil,mil,MIL,158,Milwaukee,"Milwaukee Brewers",Brewers,0,0,205,104,NL
2012/03/04/gid_2012_03_04_tormlb_pitmlb_1/,home,pit,pit,PIT,134,Pittsburgh,"Pittsburgh Pirates",Pirates,0,2,205,104,NL
2012/03/04/gid_2012_03_04_tormlb_pitmlb_1/,away,tor,tor,TOR,141,Toronto,"Toronto Blue Jays","Blue Jays",2,0,201,103,AL
2012/03/05/gid_2012_03_05_anamlb_oakmlb_1/,away,ana,ana,LAA,108,"LA Angels","Los Angeles Angels",Angels,1,0,200,103,AL
2012/03/05/gid_2012_03_05_anamlb_oakmlb_1/,home,oak,oak,OAK,133,Oakland,"Oakland Athletics",Athletics,3,2,200,103,AL
2012/03/05/gid_2012_03_05_arimlb_colmlb_1/,away,ari,ari,ARI,109,Arizona,"Arizona Diamondbacks",D-backs,1,2,203,104,NL
2012/03/05/gid_2012_03_05_arimlb_colmlb_1/,home,col,col,COL,115,Colorado,"Colorado Rockies",Rockies,1,0,203,104,NL
2012/03/05/gid_2012_03_05_atlmlb_houmlb_1/,home,hou,hou,HOU,117,Houston,"Houston Astros",Astros,2,1,205,104,NL
2012/03/05/gid_2012_03_05_atlmlb_houmlb_1/,away,atl,atl,ATL,144,Atlanta,"Atlanta Braves",Braves,1,2,204,104,NL
2012/03/05/gid_2012_03_05_balmlb_tbamlb_1/,away,bal,bal,BAL,110,Baltimore,"Baltimore Orioles",Orioles,1,1,201,103,AL
2012/03/05/gid_2012_03_05_balmlb_tbamlb_1/,home,tba,tb,TB,139,"Tampa Bay","Tampa Bay Rays",Rays,0,3,201,103,AL
2012/03/05/gid_2012_03_05_bosmlb_minmlb_1/,away,bos,bos,BOS,111,Boston,"Boston Red Sox","Red Sox",2,0,201,103,AL
2012/03/05/gid_2012_03_05_bosmlb_minmlb_1/,home,min,min,MIN,142,Minnesota,"Minnesota Twins",Twins,2,2,202,103,AL
2012/03/05/gid_2012_03_05_clemlb_cinmlb_1/,home,cin,cin,CIN,113,Cincinnati,"Cincinnati Reds",Reds,2,0,205,104,NL
2012/03/05/gid_2012_03_05_clemlb_cinmlb_1/,away,cle,cle,CLE,114,Cleveland,"Cleveland Indians",Indians,0,2,202,103,AL
2012/03/05/gid_2012_03_05_lanmlb_chamlb_1/,away,lan,la,LAD,119,"LA Dodgers","Los Angeles Dodgers",Dodgers,1,0,203,104,NL
2012/03/05/gid_2012_03_05_lanmlb_chamlb_1/,home,cha,cws,CWS,145,"Chi White Sox","Chicago White Sox","White Sox",0,1,202,103,AL
2012/03/05/gid_2012_03_05_miamlb_slnmlb_1/,home,sln,stl,STL,138,"St. Louis","St. Louis Cardinals",Cardinals,0,1,205,104,NL
2012/03/05/gid_2012_03_05_miamlb_slnmlb_1/,away,mia,mia,MIA,146,Miami,"Miami Marlins",Marlins,1,0,204,104,NL
2012/03/05/gid_2012_03_05_milmlb_sfnmlb_1/,home,sfn,sf,SF,137,"San Francisco","San Francisco Giants",Giants,1,2,203,104,NL
2012/03/05/gid_2012_03_05_milmlb_sfnmlb_1/,away,mil,mil,MIL,158,Milwaukee,"Milwaukee Brewers",Brewers,1,0,205,104,NL
2012/03/05/gid_2012_03_05_nyamlb_phimlb_1/,home,phi,phi,PHI,143,Philadelphia,"Philadelphia Phillies",Phillies,1,2,204,104,NL
2012/03/05/gid_2012_03_05_nyamlb_phimlb_1/,away,nya,nyy,NYY,147,"NY Yankees","New York Yankees",Yankees,2,1,201,103,AL
2012/03/05/gid_2012_03_05_oakmlb_chnmlb_1/,home,chn,chc,CHC,112,"Chi Cubs","Chicago Cubs",Cubs,0,2,205,104,NL
2012/03/05/gid_2012_03_05_oakmlb_chnmlb_1/,away,oak,oak,OAK,133,Oakland,"Oakland Athletics",Athletics,3,2,200,103,AL
2012/03/05/gid_2012_03_05_pitmlb_balmlb_1/,home,bal,bal,BAL,110,Baltimore,"Baltimore Orioles",Orioles,1,1,201,103,AL
2012/03/05/gid_2012_03_05_pitmlb_balmlb_1/,away,pit,pit,PIT,134,Pittsburgh,"Pittsburgh Pirates",Pirates,1,2,205,104,NL
2012/03/05/gid_2012_03_05_seamlb_sdnmlb_1/,home,sdn,sd,SD,135,"San Diego","San Diego Padres",Padres,0,2,203,104,NL
2012/03/05/gid_2012_03_05_seamlb_sdnmlb_1/,away,sea,sea,SEA,136,Seattle,"Seattle Mariners",Mariners,3,1,200,103,AL
2012/03/05/gid_2012_03_05_texmlb_kcamlb_1/,home,kca,kc,KC,118,"Kansas City","Kansas City Royals",Royals,2,0,202,103,AL
2012/03/05/gid_2012_03_05_texmlb_kcamlb_1/,away,tex,tex,TEX,140,Texas,"Texas Rangers",Rangers,0,2,200,103,AL
2012/03/05/gid_2012_03_05_tormlb_detmlb_1/,home,det,det,DET,116,Detroit,"Detroit Tigers",Tigers,3,0,202,103,AL
2012/03/05/gid_2012_03_05_tormlb_detmlb_1/,away,tor,tor,TOR,141,Toronto,"Toronto Blue Jays","Blue Jays",2,1,201,103,AL
2012/03/05/gid_2012_03_05_wasmlb_nynmlb_1/,away,was,was,WSH,120,Washington,"Washington Nationals",Nationals,1,2,204,104,NL
2012/03/05/gid_2012_03_05_wasmlb_nynmlb_1/,home,nyn,nym,NYM,121,"NY Mets","New York Mets",Mets,0,1,204,104,NL
2012/03/06/gid_2012_03_06_balmlb_bosmlb_1/,away,bal,bal,BAL,110,Baltimore,"Baltimore Orioles",Orioles,1,2,201,103,AL
2012/03/06/gid_2012_03_06_balmlb_bosmlb_1/,home,bos,bos,BOS,111,Boston,"Boston Red Sox","Red Sox",3,0,201,103,AL
2012/03/06/gid_2012_03_06_chamlb_anamlb_1/,home,ana,ana,LAA,108,"LA Angels","Los Angeles Angels",Angels,2,0,200,103,AL
2012/03/06/gid_2012_03_06_chamlb_anamlb_1/,away,cha,cws,CWS,145,"Chi White Sox","Chicago White Sox","White Sox",0,2,202,103,AL
2012/03/06/gid_2012_03_06_cinmlb_seamlb_1/,away,cin,cin,CIN,113,Cincinnati,"Cincinnati Reds",Reds,2,1,205,104,NL
2012/03/06/gid_2012_03_06_cinmlb_seamlb_1/,home,sea,sea,SEA,136,Seattle,"Seattle Mariners",Mariners,4,1,200,103,AL
2012/03/06/gid_2012_03_06_colmlb_chnmlb_1/,home,chn,chc,CHC,112,"Chi Cubs","Chicago Cubs",Cubs,1,2,205,104,NL
2012/03/06/gid_2012_03_06_colmlb_chnmlb_1/,away,col,col,COL,115,Colorado,"Colorado Rockies",Rockies,1,1,203,104,NL
2012/03/06/gid_2012_03_06_detmlb_miamlb_1/,away,det,det,DET,116,Detroit,"Detroit Tigers",Tigers,4,0,202,103,AL
2012/03/06/gid_2012_03_06_detmlb_miamlb_1/,home,mia,mia,MIA,146,Miami,"Miami Marlins",Marlins,1,1,204,104,NL
2012/03/06/gid_2012_03_06_kcamlb_clemlb_1/,home,cle,cle,CLE,114,Cleveland,"Cleveland Indians",Indians,1,2,202,103,AL
2012/03/06/gid_2012_03_06_kcamlb_clemlb_1/,away,kca,kc,KC,118,"Kansas City","Kansas City Royals",Royals,3,1,202,103,AL
2012/03/06/gid_2012_03_06_minmlb_tbamlb_1/,home,tba,tb,TB,139,"Tampa Bay","Tampa Bay Rays",Rays,0,4,201,103,AL
2012/03/06/gid_2012_03_06_minmlb_tbamlb_1/,away,min,min,MIN,142,Minnesota,"Minnesota Twins",Twins,3,2,202,103,AL
2012/03/06/gid_2012_03_06_nyamlb_pitmlb_1/,home,pit,pit,PIT,134,Pittsburgh,"Pittsburgh Pirates",Pirates,2,2,205,104,NL
2012/03/06/gid_2012_03_06_nyamlb_pitmlb_1/,away,nya,nyy,NYY,147,"NY Yankees","New York Yankees",Yankees,2,2,201,103,AL
2012/03/06/gid_2012_03_06_nynmlb_houmlb_1/,home,hou,hou,HOU,117,Houston,"Houston Astros",Astros,3,1,205,104,NL
2012/03/06/gid_2012_03_06_nynmlb_houmlb_1/,away,nyn,nym,NYM,121,"NY Mets","New York Mets",Mets,1,2,204,104,NL
2012/03/06/gid_2012_03_06_oakmlb_milmlb_1/,away,oak,oak,OAK,133,Oakland,"Oakland Athletics",Athletics,4,2,200,103,AL
2012/03/06/gid_2012_03_06_oakmlb_milmlb_1/,home,mil,mil,MIL,158,Milwaukee,"Milwaukee Brewers",Brewers,1,1,205,104,NL
2012/03/06/gid_2012_03_06_phimlb_tormlb_1/,home,tor,tor,TOR,141,Toronto,"Toronto Blue Jays","Blue Jays",2,2,201,103,AL
2012/03/06/gid_2012_03_06_phimlb_tormlb_1/,away,phi,phi,PHI,143,Philadelphia,"Philadelphia Phillies",Phillies,2,2,204,104,NL
2012/03/06/gid_2012_03_06_sdnmlb_kcamlb_1/,home,kca,kc,KC,118,"Kansas City","Kansas City Royals",Royals,3,1,202,103,AL
2012/03/06/gid_2012_03_06_sdnmlb_kcamlb_1/,away,sdn,sd,SD,135,"San Diego","San Diego Padres",Padres,0,3,203,104,NL
2012/03/06/gid_2012_03_06_sfnmlb_lanmlb_1/,home,lan,la,LAD,119,"LA Dodgers","Los Angeles Dodgers",Dodgers,1,1,203,104,NL
2012/03/06/gid_2012_03_06_sfnmlb_lanmlb_1/,away,sfn,sf,SF,137,"San Francisco","San Francisco Giants",Giants,2,2,203,104,NL
2012/03/06/gid_2012_03_06_slnmlb_nynmlb_1/,home,nyn,nym,NYM,121,"NY Mets","New York Mets",Mets,1,2,204,104,NL
2012/03/06/gid_2012_03_06_slnmlb_nynmlb_1/,away,sln,stl,STL,138,"St. Louis","St. Louis Cardinals",Cardinals,0,2,205,104,NL
2012/03/06/gid_2012_03_06_texmlb_arimlb_1/,home,ari,ari,ARI,109,Arizona,"Arizona Diamondbacks",D-backs,1,3,203,104,NL
2012/03/06/gid_2012_03_06_texmlb_arimlb_1/,away,tex,tex,TEX,140,Texas,"Texas Rangers",Rangers,1,2,200,103,AL
2012/03/06/gid_2012_03_06_umibbc_miamlb_1/,home,mia,mia,MIA,146,Miami,"Miami Marlins",Marlins,1,0,204,104,NL
